행정구역,행정코드,총인구수
경기도 안양시 동안구 비산3동,4117353000,"11,438"
경기도 안양시 동안구 부흥동,4117354000,"16,517"
경기도 안양시 동안구 달안동,4117354600,"9,952"
경기도 안양시 동안구 관양1동,4117355000,"33,816"
경기도 안양시 동안구 관양2동,4117356000,"18,375"
경기도 안양시 동안구 부림동,4117356600,"25,847"
경기도 안양시 동안구 평촌동,4117357000,"14,047"
경기도 안양시 동안구 평안동,4117357600,"22,945"
경기도 안양시 동안구 귀인동,4117357800,"16,228"
경기도 안양시 동안구 호계1동,4117358000,"21,250"
경기도 안양시 동안구 호계2동,4117359000,"18,847"
경기도 안양시 동안구 호계3동,4117360000,"23,160"
경기도 안양시 동안구 범계동,4117361000,"15,326"
경기도 안양시 동안구 신촌동,4117362000,"12,386"
경기도 안양시 동안구 갈산동,4117363000,"10,515"
경기도 오산시 중앙동,4137051000,"34,687"
경기도 오산시 남촌동,4137053000,"23,440"
경기도 오산시 신장동,4137054000,"59,566"
경기도 오산시 세마동,4137055000,"31,763"
경기도 오산시 초평동,4137056000,"16,504"
경기도 오산시 대원동,4137057000,"63,696"
경기도 의정부시 의정부1동,4115051000,"38,966"
경기도 의정부시 의정부2동,4115052000,"29,574"
경기도 의정부시 호원1동,4115054500,"34,483"
경기도 의정부시 호원2동,4115055500,"33,020"
경기도 의정부시 장암동,4115056100,"19,007"
경기도 의정부시 신곡1동,4115056700,"39,419"
경기도 의정부시 신곡2동,4115056800,"45,401"
경기도 의정부시 송산1동,4115057300,"57,293"
